展示会名,日程,会場,カテゴリ,おすすめ度,営業ポイント
イベント総合EXPO 2026,2026年1月21日〜23日,幕張メッセ,イベントインフラ,ー,【終了済み】次回（2027年）に向けての営業リスト化用
ライブ・エンターテイメント EXPO 2026,2026年1月21日〜23日,幕張メッセ,イベントインフラ,ー,【終了済み】次回（2027年）に向けての営業リスト化用
SPORTEC 2026,2026年7月8日〜10日,東京ビッグサイト,スポーツ・フィットネス,〇,大型のフィットネスマシンや特設ステージが多く、堅牢なトラスと空間演出が求められます。
国際物流総合展 2026,2026年9月8日〜11日,東京ビッグサイト,物流・マテハン,〇,巨大な物流システムやマテハン機器を展示するため、天井ギリギリまでの巨大ブースやトラスが乱立します。
東京ゲームショウ 2026 (TGS),2026年9月17日〜21日,幕張メッセ,ゲーム・エンタメ,◎,トラスとLEDビジョンの大本命！各社が巨大モニターや派手な照明を吊るすため、まさに御社の強みが活きる戦場です。
ツーリズムEXPOジャパン 2026,2026年9月24日〜27日,東京ビッグサイト,観光・旅行,〇,各国・各地域の巨大パビリオンが建ち並び、大規模な空間装飾が行われます。
CEATEC 2026,2026年10月13日〜16日,幕張メッセ,IT・エレクトロニクス,〇,B2Bの巨大ブース多数。最新技術をアピールするための超大型LEDビジョンや洗練されたトラス構造が必須です。
JIMTOF 2026,2026年10月26日〜31日,東京ビッグサイト,工作機械,〇,超重量級の機械が並ぶため、それに負けない巨大なサインやトラスでの頭上装飾がメインになります。
Inter BEE 2026,2026年11月18日〜20日,幕張メッセ,音響・映像・通信,◎,映像・照明のプロが集まる展示会。ここで使われるブース施工自体が「作品」として見られます。LEDビジョンのアピールには最高の舞台です。
JAPAN BUILD 東京 2026,2026年12月2日〜4日,東京ビッグサイト,建築・建設,〇,建築の先端技術展。大型構造物の展示も多いです。
東京オートサロン 2027,2027年1月15日〜17日,幕張メッセ,車・カスタムカー,◎,オートメッセと同様、カスタムカーと派手な演出の祭典。トラスと照明、LEDビジョンの需要は国内トップクラスです。
第14回 LIVeNT 2027 (イベント総合 & ライブ・エンターテイメントEXPO),2027年1月27日〜29日,幕張メッセ,イベントインフラ,◎,展示会業界関係者が集まるイベント。ここでサインスターさん自身が出展し、圧倒的なトラス組やLEDビジョンを見せつけるのもアリかもしれません！
大阪オートメッセ 2027,2027年2月上旬〜中旬,インテックス大阪,車・カスタムカー,◎,ホームグラウンドですね！
AnimeJapan 2027,2027年3月27日〜28日,インテックス大阪,アニメ・エンタメ,◎,アニメの特設ステージで巨大トラスとLEDビジョンが必須です。今回は大阪開催なので、関西圏の施工業者には大チャンスです。
